#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE Magnetometer Parameters
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Magnetospheric Science
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       K0>5-min Key Parameter [PRELIM]
#     DESCRIPTOR                      MFI>ACE Magnetic Field Instrument
#     DATA_VERSION                    1
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 PST0210
#     TEXT                            MAG - ACE Magnetic Field Experiment
#                                     References: http://www.srl.caltech.edu/ACE/
#     MODS                            Initial Release 11/10/98
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 AC_K0_MFI_20260202_V01
#     LOGICAL_SOURCE                  ac_k0_mfi
#     LOGICAL_SOURCE_DESCRIPTION      ACE Magnetic Field 5-Minute Key Parameters [PRELIM]
#     PI_NAME                         N. Ness
#     PI_AFFILIATION                  Bartol Research Institute
#     MISSION_GROUP                   ACE
#                                     !___Interplanetary Data near 1 AU
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     TIME_RESOLUTION                 5 minutes
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     TEXT_SUPPLEMENT_1               ACE browse data is designed for monitoring large scale particle and field
#                                     behavior and for selecting interesting time periods. The data is automatically
#                                     generated from the spacecraft data stream using simple algorithms provided by
#                                     the instrument teams. It is not routinely checked for accuracy and is subject
#                                     to revision. Use this data at your own risk, and consult with the appropriate
#                                     instrument teams about citing it.
#                                     MAG Browse data is not validated by the experimenters and should not be used
#                                     except for preliminary examination prior to detailed studies.
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, N. Ness of Bartol Research
#                                     Institute
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/
#     ALT_LOGICAL_SOURCE              ACE_MAG_Solar-Wind-Magnetic-Field-Key-Parameters-K0_5min_cdf
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ACE/MAG/KeyParameter/PT5M
#     DOI                             https://doi.org/10.48322/cs7n-7c62
#     CDAWEB_PARENTS                  ac_k0_mfi_00000000_v01
#                                     ac_k0_mfi_20260202_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, centered
#  2. [PRELIMINARY VALUES - BROWSE USE ONLY] B-field magnitude
#  3. [PRELIMINARY VALUES - BROWSE USE ONLY] Magnetic Field, Cartesian GSE coord
#
EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,[PRELIM]_<|B|>__nT,[PRELIM]_BX_GSE_(@_x_)_nT,[PRELIM]_BY_GSE_(@_y_)_nT,[PRELIM]_BZ_GSE_(@_z_)_nT
2026-02-02T15:45:00.000Z,5.40600,-0.192000,-5.34400,0.0280000
2026-02-02T15:50:00.000Z,5.44400,0.499000,-5.39800,-0.00400000
2026-02-02T15:55:00.000Z,5.42500,0.922000,-5.26400,0.0470000
2026-02-02T16:00:00.000Z,5.47100,2.70700,-4.60300,-1.07100
2026-02-02T16:05:00.000Z,5.51500,2.64900,-4.47500,0.334000
2026-02-02T16:10:00.000Z,5.43700,2.73900,-4.59000,-0.142000
2026-02-02T16:15:00.000Z,5.48400,2.60800,-4.79600,0.376000
2026-02-02T16:20:00.000Z,5.43800,2.86800,-4.59400,-0.167000
2026-02-02T16:25:00.000Z,5.50300,1.10400,-5.21500,1.06600
2026-02-02T16:30:00.000Z,5.42500,1.02400,-5.26200,0.563000
2026-02-02T16:35:00.000Z,5.34500,1.21200,-5.14900,0.657000
2026-02-02T16:40:00.000Z,5.31000,1.40400,-5.04000,0.743000
2026-02-02T16:45:00.000Z,5.37900,1.82500,-4.90000,0.387000
2026-02-02T16:50:00.000Z,5.57200,3.11000,-4.58600,-0.0210000
2026-02-02T16:55:00.000Z,5.15500,-0.494000,-4.33200,2.15900
2026-02-02T17:00:00.000Z,5.04100,-0.612000,-4.41800,2.32900
2026-02-02T17:05:00.000Z,4.98100,-0.206000,-4.51300,1.99700
2026-02-02T17:10:00.000Z,5.38900,-1.89800,-3.68900,3.31200
2026-02-02T17:15:00.000Z,5.34100,-1.76700,-3.49700,3.26100
2026-02-02T17:20:00.000Z,4.69700,0.569000,-4.17300,1.49700
2026-02-02T17:25:00.000Z,4.79900,-0.287000,-4.42400,1.35100
2026-02-02T17:30:00.000Z,4.88300,-1.38900,-4.22000,1.98000
2026-02-02T17:35:00.000Z,4.94200,-1.14400,-4.37500,1.96500
2026-02-02T17:40:00.000Z,4.93600,-0.458000,-4.20000,1.87100
2026-02-02T17:45:00.000Z,5.43500,1.28400,-4.65900,2.43900
2026-02-02T17:50:00.000Z,5.42900,1.00900,-4.91800,2.00400
2026-02-02T17:55:00.000Z,4.90800,1.60700,-4.49200,0.911000
2026-02-02T18:00:00.000Z,5.24000,3.59700,-3.71300,-0.276000
2026-02-02T18:05:00.000Z,5.30200,2.74200,-4.51500,0.221000
2026-02-02T18:10:00.000Z,5.34400,3.04200,-4.35000,0.378000
2026-02-02T18:15:00.000Z,5.30700,2.79300,-4.45100,0.654000
2026-02-02T18:20:00.000Z,5.40900,2.12900,-4.84100,0.841000
2026-02-02T18:25:00.000Z,5.74300,2.31700,-5.10000,0.840000
2026-02-02T18:30:00.000Z,5.93900,2.79100,-5.10100,1.15700
2026-02-02T18:35:00.000Z,5.77400,2.15200,-5.24700,1.01100
2026-02-02T18:40:00.000Z,5.68100,1.97000,-5.19400,1.10800
2026-02-02T18:45:00.000Z,5.79500,2.49000,-4.99300,1.19300
2026-02-02T18:50:00.000Z,5.72100,1.76400,-5.29500,0.968000
2026-02-02T18:55:00.000Z,5.75100,2.02900,-5.04800,1.07900
2026-02-02T19:00:00.000Z,5.83200,3.42900,-4.57200,0.962000
2026-02-02T19:05:00.000Z,5.85400,3.52100,-4.48100,1.01400
2026-02-02T19:10:00.000Z,5.86900,3.14400,-4.94500,0.171000
2026-02-02T19:15:00.000Z,5.88900,2.59500,-5.24600,-0.147000
2026-02-02T19:20:00.000Z,5.90800,2.44600,-5.36200,-0.0830000
2026-02-02T19:25:00.000Z,5.95100,1.74000,-5.57100,0.305000
2026-02-02T19:30:00.000Z,5.94600,1.66100,-5.60500,0.422000
2026-02-02T19:35:00.000Z,6.08100,2.23600,-5.51200,1.01200
2026-02-02T19:40:00.000Z,6.16600,2.27300,-5.69600,0.122000
2026-02-02T19:45:00.000Z,6.11500,2.81500,-5.35200,0.386000
2026-02-02T19:50:00.000Z,6.07800,3.66600,-4.80000,-0.354000
2026-02-02T19:55:00.000Z,5.96400,4.23200,-4.09900,-0.830000
2026-02-02T20:00:00.000Z,5.76400,2.93300,-4.79000,-0.329000
2026-02-02T20:05:00.000Z,5.67600,1.88900,-5.21900,-0.303000
2026-02-02T20:10:00.000Z,5.48700,4.33900,-2.23600,-1.15700
2026-02-02T20:15:00.000Z,5.40100,4.88800,-1.64300,-1.36000
2026-02-02T20:20:00.000Z,5.25300,4.45200,-2.56900,-0.944000
2026-02-02T20:25:00.000Z,5.15700,4.07100,-2.84100,-1.36800
2026-02-02T20:30:00.000Z,5.06500,3.04400,-2.93800,-0.706000
2026-02-02T20:35:00.000Z,5.46800,-1.46500,-4.80500,2.00400
2026-02-02T20:40:00.000Z,5.90600,-1.39500,-5.47500,1.38300
2026-02-02T20:45:00.000Z,5.89800,-1.46500,-5.47000,1.61200
2026-02-02T20:50:00.000Z,5.95600,-1.58400,-5.27500,2.23500
2026-02-02T20:55:00.000Z,6.04900,-1.66500,-5.37200,2.19500
2026-02-02T21:00:00.000Z,5.91400,-1.97600,-5.14200,2.09700
2026-02-02T21:05:00.000Z,5.82600,-2.03000,-5.28500,0.790000
2026-02-02T21:10:00.000Z,5.90800,-1.85600,-5.54100,0.0730000
2026-02-02T21:15:00.000Z,5.96400,-1.80300,-5.51800,1.04500
2026-02-02T21:20:00.000Z,5.99100,-1.65100,-5.65100,1.01200
2026-02-02T21:25:00.000Z,6.00100,-1.57700,-5.66700,1.15600
2026-02-02T21:30:00.000Z,5.92600,-1.40300,-5.61100,0.808000
